lower_limit_mean,lower_limit_sd,upper_limit_mean,upper_limit_sd,median_mean,median_sd,mean_mean,mean_sd,diff_mean,diff_sd,upper_limit_max_mean,upper_limit_max_sd,lower_limit_min_mean,lower_limit_min_sd,species_work,number_of_islands,number_of_mainland
22.924299999999985,1.8529524934393085,27.23999999999999,0.35154456841712767,26.111849999999986,0.7587870816871749,25.671333333333322,0.7274878500052361,4.3157000000000085,1.8391971498880064,36.111599999999996,1.0087928940585875,14.217899999999986,2.0095441915663037,Abelmoschus moschatus,6,200
19.05569999999999,1.8268839632048373,25.94559999999999,1.6141394258508412,22.38099999999999,0.987083245391863,22.459414285714274,0.9555181832219913,6.889899999999997,2.2425068175652942,34.5819,1.9089490502568431,8.097499999999986,2.088642184811986,Abildgaardia ovata,7,131
19.733799999999995,0.4838094993193379,28.405899999999992,0.12958388010081787,26.498049999999985,0.12623245276920927,25.925507954545445,0.16859226724998908,8.672099999999997,0.4922742365022991,39.2119,0.3611077246318469,9.567499999999994,0.7098574840400332,Abrus precatorius,88,345
22.028599999999997,0.43348581285890675,27.059199999999986,0.28148640214864507,24.74699999999999,0.459305956810886,24.71913076923076,0.388178447143003,5.030599999999987,0.5000737082807952,41.15120000000001,0.5072236546493487,8.49109999999999,0.737668587473355,Abutilon cunninghamii,13,52
21.772899999999993,0.3524483079967965,28.28149999999998,0.26297700832374044,25.690899999999985,0.15518141406518657,25.52345287356321,0.07396698970009832,6.508599999999986,0.4397492688105485,37.908199999999994,0.15276156616143546,10.863799999999998,0.15860237928452756,Abutilon indicum,174,284
16.81389999999999,1.5400677253285333,24.49309999999999,1.8806752322847595,20.51239999999999,1.016109599757191,20.5385111111111,0.8238815815191766,7.679200000000002,2.400777184807266,37.9646,1.9816138962052225,5.042499999999989,1.2133325702073297,Abutilon oxycarpum,9,371
15.764599999999986,0.23233773008450614,17.273199999999992,0.2697304478817961,16.398199999999992,0.33446767949777834,16.46352857142856,0.214341091562266,1.5086000000000062,0.3366591442087675,28.109599999999993,1.7683537301442025,7.593399999999993,1.1673985006240393,Acacia anceps,7,151
23.793699999999994,0.8196231402858818,27.358399999999996,0.3996112224764626,26.132099999999987,0.638127570942359,25.89042499999999,0.46624338039779667,3.564700000000004,0.8830649544137248,40.050200000000004,0.6631438152616065,9.37309999999999,1.4423545946738505,Acacia arida,8,138
18.14189999999999,0.979026497538694,27.83689999999999,0.7419965963189777,20.94584999999999,0.7728146737866849,21.85466249999999,0.5686074264026293,9.695000000000002,1.1925003383886537,37.964800000000004,1.1391218365734905,7.585499999999992,1.6536669448121555,Acacia aulacocarpa,24,287
23.703499999999988,1.6063306160464141,27.743499999999987,0.3483376079166412,26.66989999999999,0.3520481897807857,26.370283333333322,0.37605407819259323,4.04,1.6275345983630796,37.0777,0.6827729409466158,15.320299999999987,1.7339043613574348,Acacia auriculiformis,12,357
22.85839999999999,1.2903233603924156,27.23339999999999,0.8185930213082305,25.384449999999987,0.8391482987931069,25.247233333333323,0.7122438511673845,4.374999999999999,1.4410731042149443,39.8056,0.9352450605714645,7.452399999999989,1.7355190192752907,Acacia bivenosa,6,526
14.841099999999985,0.6877599899701983,18.232399999999988,1.0300345679690632,16.361349999999987,0.4813422564743987,16.410049999999988,0.41405404327303735,3.391300000000002,1.2050753157029335,32.67889999999999,1.144558781716699,3.710499999999992,0.5974250301641725,Acacia calamifolia,8,333
15.629799999999996,0.48027348732010394,16.544799999999974,0.0966555859860166,16.18259999999999,0.10191971167359537,16.164522222222214,0.09268913952145041,0.9149999999999762,0.48514984321378507,28.093599999999984,1.6276204066637172,6.6214999999999895,1.1957246788067637,Acacia conniana,9,35
22.794099999999993,1.13563412015264,26.950399999999988,0.4845561212435933,25.416899999999988,0.5588306377442801,25.20451249999999,0.5168665273558055,4.156299999999993,1.1735661751974509,40.4654,0.6018347323352554,8.932899999999986,1.3587766055771866,Acacia coriacea,8,176
14.625199999999987,0.3724831589531297,20.097099999999987,1.310923380716851,16.35479999999999,0.15380382184983202,16.511797826086944,0.15516237939426938,5.471899999999998,1.374514343206235,32.36069999999999,2.9144604285509876,5.689899999999986,0.9883849932566316,Acacia cyclops,46,272
25.448899999999988,0.4326962167803322,27.377299999999984,0.13745400541127445,26.695399999999992,0.38508067612790686,26.568099999999987,0.24609160098645338,1.9283999999999955,0.438435474916961,37.5315,0.4207550175396482,13.619499999999993,0.41342553219494016,Acacia deltoidea,8,65
11.243399999999989,1.0569927500572882,14.984999999999985,0.7085174641439679,13.354349999999988,0.43098645782301315,13.279059999999987,0.3716614704925017,3.7415999999999965,1.2742186127478556,28.43159999999999,1.3036721217395875,1.6767999999999912,1.1665172619908029,Acacia genistifolia,10,383
25.805199999999992,0.36486447632797153,27.88839999999998,0.3159513653479984,26.905149999999985,0.20174657166648335,26.895012499999986,0.1381232456893108,2.0831999999999877,0.4686548809064035,38.2428,0.6511467976978429,13.945799999999988,0.7900674443150875,Acacia gonocarpa,16,271
21.96219999999999,1.4367865239886939,28.01009999999999,0.6331262424183981,26.14419999999999,0.7294233464994239,25.65450909090908,0.6020378357473672,6.0479,1.541542066225227,38.1409,0.8895664778522804,10.291899999999988,1.6315349509882682,Acacia holosericea,11,836
21.142699999999987,1.2530510152610905,27.63819999999999,0.47850781574571116,25.70739999999999,0.6012543112084475,25.200784615384602,0.555373120497932,6.495500000000001,1.3037060249148973,37.4916,0.5907947854191644,11.743899999999986,1.0961497773271427,Acacia humifusa,13,365
