species_work,lower_limit_islands,upper_limit_islands,upper_limit_max_islands,lower_limit_min_islands,diff_islands,number_of_islands,number_of_mainland,lower_limit_mainland,upper_limit_mainland,upper_limit_max_mainland,lower_limit_min_mainland,diff_mainland,lower_limit_sd,upper_limit_sd,upper_limit_max_sd,lower_limit_min_sd,diff_sd,min,max,abs_max,abs_min,diff,lower_limit_std,upper_limit_std,upper_limit_max_std,lower_limit_min_std,diff_std
Acacia podalyriifolia,18,22.5,30.09999999999997,10.099999999999966,4.5,8,154,14.993499999999983,20.759299999999985,32.033899999999996,4.522499999999988,5.765800000000002,1.5520104659719582,0.8526784684572257,0.8739820562429397,1.6758676207511982,1.7068871737240938,3.006500000000017,1.7407000000000146,-1.9339000000000262,5.5774999999999775,-1.2658000000000023,1.937164771706081,2.0414494611896443,-2.212745657861038,3.328126834683932,-0.7415838723764467
Acacia polystachya,23.5,26.399999999999977,29.69999999999999,17.899999999999977,2.8999999999999773,9,194,22.26369999999999,26.27829999999999,32.679199999999994,15.254799999999989,4.014600000000001,1.320937995209153,0.387878279308807,1.355058501889698,2.105086304251763,1.3507373287694835,1.2363000000000106,0.12169999999998637,-2.979200000000006,2.6451999999999884,-1.1146000000000233,0.9359258379150939,0.3137582238862508,-2.1985766635502157,1.2565755592335226,-0.8251789420933674
Acacia pulchella,18,18,28.5,10.099999999999966,0,11,753,14.546899999999988,18.911299999999983,33.30569999999999,5.267199999999988,4.364399999999996,0.8562613932518343,0.5747283033074211,0.8868393281728076,0.9062590498667932,1.0153046259539478,3.4531000000000116,-0.9112999999999829,-4.805699999999987,4.832799999999978,-4.364399999999996,4.032763858342523,-1.5856187954476468,-5.418907176682582,5.332691575008634,-4.298611360998524
Acacia retinervis,27.09999999999997,27.5,32.69999999999999,20.09999999999997,0.4000000000000341,13,99,25.487099999999987,27.685099999999988,37.536100000000005,14.259199999999998,2.198000000000001,0.4495394039188096,0.42859267572099374,0.7198367557682506,0.8037794606864569,0.5921204325191015,1.612899999999982,-0.18509999999998783,-4.836100000000016,5.840799999999971,-1.7979999999999667,3.587894600428141,-0.4318785888923698,-6.718328789474853,7.266669883566962,-3.036544427880327
Acacia rostellifera,16.5,21.19999999999999,29.59999999999997,11.099999999999966,4.699999999999989,40,262,15.881999999999993,22.633899999999976,38.4952,6.593999999999988,6.751899999999985,0.6008469164579425,1.0531998955658974,0.7666842666735523,0.5424557661766123,1.202714809467693,0.6180000000000074,-1.433899999999987,-8.895200000000028,4.505999999999978,-2.0518999999999963,1.028548176036559,-1.361469941306379,-11.602168437072583,8.306668084219273,-1.7060569836236925
Acacia saligna,15.800000000000011,21,28.5,10.099999999999966,5.199999999999989,20,837,14.288299999999984,20.53339999999999,35.491699999999994,5.047799999999989,6.245100000000006,0.5543287746368477,0.8408159200511208,1.4831590848155416,0.9339954536867422,1.0045023718314532,1.5117000000000278,0.46660000000001034,-6.9916999999999945,5.052199999999977,-1.0451000000000175,2.727081957797291,0.5549371614795798,-4.7140593828271244,5.409234038621415,-1.040415661831186
Acacia simsii,23.5,26.59999999999997,30.5,17.899999999999977,3.099999999999966,8,421,20.989999999999988,26.68579999999999,35.17739999999999,11.471099999999984,5.695800000000001,1.207558776291322,0.6181103626541327,1.6614842068974858,1.395005674121377,1.2716837419498377,2.5100000000000122,-0.0858000000000203,-4.677399999999992,6.428899999999993,-2.595800000000035,2.0785737715465684,-0.13881016268939372,-2.815193777095342,4.608511720964245,-2.041230782757328
Acacia stigmatophylla,27.09999999999997,27.5,35.10000000000002,17.599999999999966,0.4000000000000341,17,160,25.67449999999999,28.17059999999999,38.8373,13.94999999999998,2.4960999999999993,0.30264061416363086,0.44707439595163223,0.5830769148994724,0.4662374688690093,0.5318248091501823,1.4254999999999782,-0.6705999999999896,-3.7372999999999763,3.649999999999986,-2.096099999999965,4.710207200508927,-1.4999740671182165,-6.409617504140632,7.828628636077003,-3.941335499841352
Acacia suaveolens,12.199999999999989,21.5,27.399999999999977,6.300000000000011,9.300000000000011,20,450,12.221199999999993,21.006299999999985,28.485399999999984,2.657999999999988,8.785099999999995,0.441549006935274,1.0503968981502376,1.7858096079806385,1.637533974462062,1.1123962492814392,-0.021200000000003882,0.4937000000000147,-1.085400000000007,3.6420000000000234,0.5149000000000168,-0.04801279057821901,0.4700128121754993,-0.6077915558016053,2.2240759928027987,0.4628746279328255
Acacia torulosa,26.59999999999997,26.69999999999999,30.5,22.09999999999997,0.10000000000002274,13,507,23.425999999999988,27.329099999999983,37.6312,10.788699999999984,3.903099999999997,1.1681732014682704,0.3420529055426816,0.5047983571500408,1.368076731745684,1.197837720730653,3.1739999999999817,-0.629099999999994,-7.1312,11.311299999999985,-3.8030999999999744,2.7170628430874793,-1.839189171633844,-14.126828859469521,8.26803039444039,-3.1749709782725595
Acacia translucens,27.09999999999997,28.30000000000001,35.19999999999999,19.80000000000001,1.2000000000000457,7,255,25.81599999999999,28.216199999999983,38.5227,13.370899999999988,2.4001999999999977,0.7696338976008904,0.5473364021670185,0.7721210273531484,1.3491788144917891,0.8926235134348278,1.2839999999999812,0.08380000000002852,-3.3227000000000118,6.429100000000023,-1.200199999999952,1.6683256857610838,0.15310510988899498,-4.303340904197774,4.765194895549666,-1.3445758283708722
Acacia tumida,27.19999999999999,28.30000000000001,35.19999999999999,19.5,1.1000000000000227,13,480,25.375599999999984,28.611299999999993,40.1137,10.506699999999984,3.2357000000000062,0.7004393301744694,0.3925256506094678,0.5048338015299368,1.4406945237317723,0.7683657305579801,1.8244000000000042,-0.3112999999999815,-4.913700000000013,8.993300000000016,-2.1356999999999835,2.6046509974612255,-0.7930691905525953,-9.733302296931535,6.2423364924751965,-2.779535727665858
Acacia ulicifolia,13.699999999999989,22.5,30.09999999999997,9.099999999999966,8.800000000000011,6,562,12.473899999999988,19.91869999999999,28.729399999999988,2.1308999999999876,7.444800000000002,1.477468003613513,1.5019374574615714,1.7175289067568975,1.826294209742928,1.9985362411292695,1.2261000000000006,2.5813000000000095,1.3705999999999818,6.969099999999978,1.3552000000000097,0.8298656871088038,1.7186467966267196,0.7980069474277438,3.8159788071501137,0.6780962847259934
Acacia verticillata,11.599999999999966,15.800000000000011,23.899999999999977,6.300000000000011,4.2000000000000455,35,606,9.881699999999988,15.394499999999985,27.283899999999992,1.8941999999999877,5.512799999999997,1.2371765095230811,0.4076099801230262,1.1365837464140536,1.3262976383246077,1.2899302617118789,1.718299999999978,0.4055000000000266,-3.383900000000015,4.405800000000024,-1.3127999999999513,1.3888883168840354,0.9948235317438432,-2.9772553150406145,3.321878794540775,-1.0177294377586907
Acacia yirrkallensis,26.59999999999997,26.69999999999999,29.19999999999999,22.899999999999977,0.10000000000002274,10,87,25.786899999999985,26.8146,36.08320000000001,15.948399999999982,1.0277000000000127,0.2307197902686739,0.14828630694987033,0.4187757551878326,0.8043036393951866,0.2689145310782335,0.8130999999999844,-0.11460000000001003,-6.8832000000000235,6.951599999999996,-0.92769999999999,3.5241883630924202,-0.772829281120014,-16.436481612725444,8.643004531506783,-3.4497949823696974
Acaena echinata,12.199999999999989,15.800000000000011,23.899999999999977,8.5,3.6000000000000227,6,548,11.471299999999989,16.06379999999999,28.60559999999999,2.0527999999999884,4.5925,2.365430525627749,0.901699851737052,1.605018605725404,2.2904887029842573,2.429600112509608,0.7286999999999999,-0.2637999999999785,-4.705600000000011,6.447200000000011,-0.9924999999999775,0.3080623134372607,-0.29255854871417475,-2.931804019725534,2.8147704861412377,-0.4085034384423015
Acaena novae-zelandiae,11.599999999999966,16.899999999999977,23.899999999999977,6.899999999999977,5.300000000000011,81,540,4.04909999999999,16.902899999999992,29.51399999999999,-5.595500000000014,12.8538,0.4592712925059853,0.5622434594619266,1.1188636448896971,0.989104685095606,0.7350277721459452,7.5508999999999755,-0.0029000000000145576,-5.614000000000011,12.495499999999991,-7.553799999999988,16.44104502765448,-0.0051579079333175185,-5.0175908616223435,12.633142060986383,-10.276890596863224
Acaena pallida,12.099999999999966,14.399999999999975,20.399999999999977,8.5,2.3000000000000114,12,23,7.754200000000004,14.367199999999984,20.31989999999999,4.277399999999993,6.612999999999979,3.688409782918198,0.08167515430551534,0.16235870888360016,2.755398603008553,3.6880147033942783,4.3457999999999615,0.03279999999999106,0.0800999999999874,4.222600000000007,-4.312999999999968,1.1782313397297328,0.40159091560817717,0.49335203852485365,1.5324824493231044,-1.1694638841950609
Acanthocarpus preissii,16.19999999999999,25.09999999999997,30.399999999999977,11.5,8.899999999999977,86,143,15.319999999999991,24.535699999999995,36.5868,7.405700000000002,9.215700000000004,0.19343582247716828,0.2145729515841831,0.9219955725684542,0.7424882482563501,0.2940918223956553,0.8799999999999972,0.5642999999999745,-6.186800000000019,4.094299999999998,-0.3157000000000263,4.549312473411515,2.6298748087015222,-6.710227450187323,5.514296030428764,-1.0734742551776926
Acanthus ilicifolius,26.19999999999999,26.399999999999977,29.30000000000001,24,0.19999999999998863,6,109,23.40709999999999,27.41509999999999,34.9492,16.609599999999993,4.0079999999999965,0.6006999504165376,0.5521293660337554,2.22629192509333,0.9975384318024628,0.762100253770327,2.7928999999999995,-1.015100000000011,-5.649199999999986,7.390400000000007,-3.808000000000008,4.649409406582015,-1.8385184024751748,-2.5374929209982926,7.40863686489373,-4.99671792675668
Achyranthes aspera,21,28.30000000000001,35.19999999999999,14.399999999999975,7.300000000000011,161,575,17.73509999999999,28.89149999999999,40.8432,4.648099999999989,11.156400000000003,0.921665588734578,0.14421701892824657,0.5151690588138633,0.8648608988585156,0.93516499804771,3.2649000000000115,-0.5914999999999786,-5.643200000000014,9.751899999999987,-3.856399999999992,3.542391123099899,-4.101457680901532,-10.954074014058692,11.275686081855483,-4.123764264114649
Acianthus pusillus,14.199999999999989,22.5,30.09999999999997,10.199999999999989,8.300000000000011,7,262,12.33849999999999,16.83519999999999,28.102599999999992,3.456899999999992,4.496700000000002,1.025963133036633,1.4817410423270725,1.3429880330281654,1.7233114031399492,1.746083594195282,1.8614999999999995,5.66480000000001,1.9973999999999776,6.7430999999999965,3.803300000000009,1.8143926814313052,3.8230701844523716,1.4872805645901743,3.9128737776084876,2.178188955353445
Acrostichum aureum,26.30000000000001,26.69999999999999,29.30000000000001,24,0.39999999999997726,6,18,22.111699999999995,26.365199999999977,33.743999999999986,13.37939999999998,4.253499999999981,1.1263488677011972,0.5136660518399133,3.011327297404274,2.017867048996902,1.153012223346821,4.188300000000016,0.334800000000012,-4.443999999999974,10.62060000000002,-3.853500000000004,3.7184749060458118,0.651785335629605,-1.475761204645754,5.26328035599749,-3.342115479760086
Acrostichum speciosum,22.5,26.69999999999999,30.09999999999997,16.80000000000001,4.199999999999989,10,206,20.387799999999988,27.405199999999983,36.7991,10.87869999999999,7.0173999999999985,1.2512700894838185,0.335119777490473,2.2182312187280564,2.3724765446585465,1.2609231408643315,2.112200000000012,-0.7051999999999943,-6.699100000000033,5.921300000000022,-2.81740000000001,1.6880448256150273,-2.104322237502208,-3.020018807525992,2.495830786328061,-2.2343947134388795
Acrotriche cordata,14.399999999999975,18.59999999999997,27.59999999999997,9.899999999999975,4.199999999999989,22,335,14.069,18.252299999999988,29.25379999999999,6.053999999999989,4.183299999999987,0.266927425062033,1.1590850651217104,0.900953537801634,0.4380363864747726,1.172341885072569,0.33099999999997465,0.3476999999999819,-1.6538000000000217,3.8459999999999868,0.016700000000001936,1.240037436854049,0.2999779830339471,-1.8356107508444508,8.780092519143922,0.0142449913396792
