species_work,lower_limit,upper_limit,upper_limit_max,lower_limit_min,n
Senecio depressicola,10.399999999999975,26.19999999999999,38.69999999999999,-0.9000000000000341,135
Senecio elegans,12.399999999999975,19.59999999999997,32.30000000000001,4.5,191
Senecio glomeratus,5.699999999999989,18.19999999999999,33.5,-2.6999999999999886,406
Senecio glossanthus,13.800000000000011,26.19999999999999,40.60000000000002,2.6999999999999886,746
Senecio hispidulus,6.800000000000011,20.09999999999997,31.59999999999997,-3.6999999999999886,251
Senecio linearifolius,5.199999999999989,18.19999999999999,30,-4.800000000000011,451
Senecio madagascariensis,9.599999999999966,24.09999999999997,36.10000000000002,0.30000000000001137,346
Senecio minimus,5.800000000000011,22.80000000000001,38.19999999999999,-2.1999999999999886,255
Senecio pinnatifolius,3.3999999999999773,25.19999999999999,39.30000000000001,-7.100000000000023,1436
Senecio pterophorus,12.5,20.899999999999977,29.5,3.8999999999999777,191
Senecio quadridentatus,6.800000000000011,22.59999999999997,37,-3.6999999999999886,710
Senna alata,20.59999999999997,28.69999999999999,38.60000000000002,11.899999999999975,72
Senna goniodes,25.69999999999999,27.69999999999999,38.19999999999999,13.199999999999989,62
Senna occidentalis,17.80000000000001,28.80000000000001,39.69999999999999,5.699999999999989,270
Senna pendula,13.399999999999975,25.5,36.39999999999998,3.3000000000000114,178
Sersalisia sericea,19.5,29,39.5,10.199999999999989,474
Sesbania cannabina,16.099999999999966,29.30000000000001,41.60000000000002,4,487
Sesuvium portulacastrum,15.399999999999975,29.30000000000001,38.69999999999999,5,271
Setaria apiculata,20.59999999999997,28.899999999999977,40.39999999999998,8.800000000000011,269
Setaria dielsii,19.09999999999997,29,41.60000000000002,4.899999999999977,191
Setaria surgens,14.699999999999989,29,40.30000000000001,4.099999999999966,383
Sherardia arvensis,11.099999999999966,20,32.5,-0.4000000000000341,237
Sida acuta,19,28.80000000000001,39.5,5.5,386
Sida calyxhymenia,16.5,27,39.89999999999998,2.3999999999999773,249
Sida cordifolia,18.399999999999977,28.69999999999999,38.80000000000001,4.800000000000011,421
Sida corrugata,12.800000000000011,27.19999999999999,39,1.5,318
Sida hookeriana,11.899999999999975,20,34,2.3999999999999773,37
Sida pusilla,25.899999999999977,27.69999999999999,33.39999999999998,20.09999999999997,76
Sida rhombifolia,12.099999999999966,28.69999999999999,38.80000000000001,1.8999999999999773,311
Sida spinosa,16.19999999999999,29,40.5,3.3999999999999773,384
Sigesbeckia orientalis,10.5,26.19999999999999,40.5,0.5,442
Silene gallica,10.599999999999966,24.19999999999999,40,-0.9000000000000341,433
Silene nocturna,11.899999999999975,21.899999999999977,38.19999999999999,1.5,305
Siloxerus humifusus,13.699999999999989,20.09999999999997,34.80000000000001,4.699999999999989,123
Siloxerus multiflorus,11.199999999999989,21.30000000000001,37.10000000000002,0.5999999999999659,361
Sisymbrium irio,8.699999999999989,24.69999999999999,39.80000000000001,-1.6999999999999886,327
Sisymbrium orientale,8.699999999999989,26.69999999999999,40.5,-1.6999999999999886,317
Smilax australis,8.899999999999977,28.30000000000001,38.19999999999999,-1.6000000000000227,478
Solanum americanum,11.5,28.69999999999999,38.80000000000001,2.3000000000000114,447
Solanum ellipticum,14.300000000000011,27.899999999999977,40.30000000000001,2.3000000000000114,780
Solanum esuriale,14.300000000000011,28.399999999999977,40,2.3000000000000114,463
Solanum laciniatum,10.699999999999989,20.19999999999999,32.19999999999999,1.099999999999966,200
Solanum lycopersicum,12.5,27.899999999999977,37.80000000000001,1.3000000000000114,85
Solanum nigrum,9.300000000000011,29,41,-0.30000000000001137,906
